Algorithm,Alpha 0,Decay rate,Train loss,Test loss,,,
SGD,0.06,0.004,6.97E-08,0.062191826,,,
SGD,0.06,0.005,2.47E-07,0.059532345,,,
SGD,0.06,0.006,6.23E-07,0.059636779,,,
SGD,0.06,0.007,1.34E-06,0.05438294,,,
SGD,0.06,0.008,2.57E-06,0.049372063,,,
SGD,0.06,0.009,3.24E-06,0.062851599,,,
SGD,0.06,0.01,4.79E-06,0.06046174,,,
SGD,0.07,0.0001,1.29E-14,0.0932005,,,
SGD,0.07,0.0002,1.48E-13,0.099417071,,,
SGD,0.07,0.0003,8.56E-14,0.087790281,,,
SGD,0.07,0.0004,2.79E-13,0.095368668,,,
SGD,0.07,0.0005,4.64E-13,0.087701334,,,
SGD,0.07,0.0006,3.73E-12,0.099229609,,,
SGD,0.07,0.0007,2.83E-12,0.095229485,,,
SGD,0.07,0.0008,6.20E-11,0.1022476,,,
SGD,0.07,0.0009,1.08E-11,0.09513477,,,
SGD,0.07,0.001,4.82E-11,0.099033713,,,
SGD,0.07,0.002,2.68E-09,0.096598032,,,
SGD,0.07,0.003,2.37E-08,0.086258021,,,
SGD,0.07,0.004,1.27E-06,0.099928912,,,
SGD,0.07,0.005,3.09E-06,0.097740941,,,
SGD,0.07,0.006,2.41E-06,0.094569238,,,
SGD,0.07,0.007,1.62E-06,0.082053998,,,
SGD,0.07,0.008,1.23E-05,0.091756327,,,
SGD,0.07,0.009,3.59E-06,0.082544791,,,
SGD,0.07,0.01,1.00E-05,0.088935644,,,
SGD,0.08,0.0001,1.10E-12,0.111724982,,,
SGD,0.08,0.0002,2.06E-12,0.12817603,,,
SGD,0.08,0.0003,1.30E-12,0.12434661,,,
SGD,0.08,0.0004,6.10E-12,0.127177736,,,
SGD,0.08,0.0005,2.29E-11,0.128030976,,,
SGD,0.08,0.0006,1.86E-11,0.125818084,,,
SGD,0.08,0.0007,5.53E-11,0.127029507,,,
SGD,0.08,0.0008,7.34E-11,0.125717774,,,
SGD,0.08,0.0009,9.88E-11,0.122123548,,,
SGD,0.08,0.001,2.50E-10,0.125608872,,,
SGD,0.08,0.002,9.37E-08,0.127086978,,,
SGD,0.08,0.003,4.02E-07,0.124184667,,,
SGD,0.08,0.004,2.66E-06,0.121675877,,,
SGD,0.08,0.005,2.59E-05,0.108001661,,,
SGD,0.08,0.006,1.10E-05,0.112756633,,,
SGD,0.08,0.007,1.80E-05,0.108085035,,,
SGD,0.08,0.008,3.31E-05,0.106801801,,,
SGD,0.08,0.009,6.64E-05,0.101456995,,,
SGD,0.08,0.01,9.54E-05,0.096201574,,,
SGD,0.09,0.0001,5.71E-11,0.143891118,,,
SGD,0.09,0.0002,1.73E-11,0.149569503,,,
SGD,0.09,0.0003,4.78E-10,0.141289846,,,
SGD,0.09,0.0004,1.24E-10,0.14865866,,,
SGD,0.09,0.0005,9.30E-10,0.143669628,,,
SGD,0.09,0.0006,5.67E-09,0.138157463,,,
SGD,0.09,0.0007,1.85E-09,0.145636018,,,
SGD,0.09,0.0008,2.16E-09,0.14722951,,,
SGD,0.09,0.0009,2.48E-08,0.137759902,,,
SGD,0.09,0.001,4.56E-09,0.148256772,,,
SGD,0.09,0.002,1.71E-07,0.147603866,,,
SGD,0.09,0.003,5.62E-06,0.132216141,,,
SGD,0.09,0.004,1.20E-05,0.134837051,,,
SGD,0.09,0.005,6.80E-05,0.105287703,,,
SGD,0.09,0.006,5.46E-05,0.123180739,,,
SGD,0.09,0.007,0.000133485,0.101358457,,,
SGD,0.09,0.008,0.000111252,0.114501296,,,
SGD,0.09,0.009,0.000169823,0.105629128,,,
SGD,0.09,0.01,0.000212177,0.101042544,,,
SGD,0.1,0.0001,2.57E-09,0.132129566,,,
SGD,0.1,0.0002,2.08E-09,0.140387259,,,
SGD,0.1,0.0003,2.40E-09,0.148169938,,,
SGD,0.1,0.0004,3.91E-09,0.151666773,,,
SGD,0.1,0.0005,6.66E-09,0.154832251,,,
SGD,0.1,0.0006,2.05E-08,0.139935986,,,
SGD,0.1,0.0007,1.92E-08,0.154577144,,,
SGD,0.1,0.0008,4.02E-08,0.161627119,,,
SGD,0.1,0.0009,8.33E-08,0.139345056,,,
SGD,0.1,0.001,8.78E-08,0.147111444,,,
SGD,0.1,0.002,2.46E-06,0.138594596,,,
SGD,0.1,0.003,1.34E-05,0.147062676,,,
SGD,0.1,0.004,4.63E-05,0.127808255,,,
SGD,0.1,0.005,0.000128844,0.09788636,,,
SGD,0.1,0.006,0.000158376,0.117171972,,,
SGD,0.1,0.007,0.000225958,0.11233542,,,
SGD,0.1,0.008,0.000343641,0.088086714,,,
SGD,0.1,0.009,0.000371174,0.098479246,,,
SGD,0.1,0.01,0.000506128,0.077363868,,,
